role,genre,age,comment,kind_of_comment,complaint
alumno,hombre,29,Me encanta el ambiente y las opciones que ofrece la cafetería.,positivo,
alumno,mujer,17,El sabor de la comida es mi mayor queja y la neta deja mucho que desear.,negativo,sabor
maestro,hombre,59,El sabor de los platillos de la cafetería de la Universidad Panamericana es decepcionante y me preocupa su consistencia.,negativo,sabor
alumno,hombre,25,"La cafetería está excelente, buen servicio y ambiente.",positivo,
padre,hombre,42,"Como padre de 42 años, la cafetería mantiene un ambiente agradable y buen servicio.",positivo,
alumno,hombre,25,"La neta, las instalaciones están pésimas; el mobiliario se siente viejo.",negativo,instalaciones
madre,mujer,54,"Como mamá, disfruto venir y ver que todo sabe delicioso.",positivo,
maestro,mujer,44,Me gusta cómo la cafetería acompaña mis jornadas entre clases.,positivo,
alumno,mujer,19,"Me encanta la cafetería, siempre hay opciones y el ambiente es ideal.",positivo,
alumno,mujer,27,"La cafetería me encanta, buen servicio y ambiente en la Universidad Panamericana.",positivo,
madre,mujer,68,"La cafetería está regular, sin nada destacable.",neutro,
maestro,mujer,30,"Las instalaciones de la cafetería están pésimas, y como maestra de la Universidad Panamericana se nota en mis clases y en mi día a día.",negativo,instalaciones
maestro,mujer,53,"Como profesora de 53 años, la variedad en la cafetería es insuficiente y me deja frustrada.",negativo,variedad
alumno,hombre,27,"Como alumno, la cafetería funciona bien, nada que destacar.",neutro,
maestro,hombre,48,,negativo,variedad
alumno,mujer,19,Sabor deficiente de la comida; la cafetería últimamente está muy cara.,negativo,sabor
alumno,hombre,24,"La variedad de opciones es muy limitada; además, la atención podría ser más rápida.",negativo,variedad
padre,hombre,58,"Como papá, la cafetería está bien, solo cosas podrían mejorar.",neutro,
maestro,hombre,39,"Sabor deficiente en la cafetería, como profesor de 39 años, me deja con ganas de buscar otra opción.",negativo,sabor
padre,hombre,70,"Como papá de familia, con mis 70 años la variedad en la cafetería está muy limitada.",negativo,variedad
trabajador,mujer,28,"Como trabajadora de la cafetería, el sabor de la comida sigue siendo deficiente.",negativo,sabor
alumno,hombre,21,"La cafetería está muy bien, ambiente agradable y servicio rápido.",positivo,
visita,mujer,33,"Instalaciones en mal estado; como visitante, me dejó con mal sabor la limpieza.",negativo,instalaciones
alumno,mujer,23,"Como alumna, me encanta el ambiente y la variedad de la cafetería.",positivo,
maestro,hombre,44,"Como profe, la cafetería siempre me atiende bien y hay buen ambiente.",positivo,
visita,mujer,77,"Como mujer visitante de 77 años, el sabor de la comida me decepcionó; espero que mejoren la atención.",negativo,sabor
madre,mujer,57,"Como madre de un alumno, el sabor es decepcionante.",negativo,sabor
maestro,mujer,39,"Las instalaciones de la cafetería están pésimas; como profesora, necesito que las arreglen.",negativo,instalaciones
maestro,mujer,47,"Como profesora, estoy muy satisfecha con la atención y la variedad.",positivo,
maestro,mujer,48,"Como profesora, el sabor de la comida de la cafetería deja mucho que desear.",negativo,sabor
alumno,mujer,26,La variedad es muy limitada y como alumna me deja sin opciones.,negativo,variedad
alumno,mujer,25,La cafetería siempre me atiende bien y la comida está riquísima.,positivo,
madre,mujer,67,"Como mamá, la cafetería siempre me deja satisfecha y tranquila.",positivo,
alumno,mujer,21,"La cafetería está bien, nada que añadir.",neutro,
maestro,hombre,38,La cafetería de la Universidad Panamericana me da energía para las clases; buen servicio.,positivo,
visita,hombre,53,"Como visitante de la Universidad Panamericana, la cafetería tiene precios demasiado altos para lo que ofrecen.",negativo,precio
alumno,hombre,25,"Las instalaciones están pésimas, y eso arruina cada visita al campus; además, el ambiente y la limpieza dejan mucho que desear.",negativo,instalaciones
alumno,mujer,17,"La cafetería está de lujo, me encanta ir entre clases.",positivo,
maestro,hombre,48,"Como profesor, la cafetería está bien para mis horarios.",neutro,
alumno,mujer,20,"Como alumna de 20 años, me encanta la vibra de la cafetería; siempre me atienden rápido.",positivo,
alumno,mujer,19,El sabor de la comida en la cafetería está decepcionante y no me invita a volver.,negativo,sabor
padre,hombre,69,La variedad de alimentos es limitada y eso me preocupa como padre.,negativo,variedad
alumno,hombre,22,La cafetería funciona bien y el servicio es estable.,neutro,
trabajador,mujer,48,"El precio está muy alto para una cafetería universitaria; como trabajadora, me cuesta seguir yendo.",negativo,precio
alumno,hombre,26,"Como alumno, el precio está muy alto para lo que dan y la atención deja mucho que desear.",negativo,precio
alumno,hombre,24,"La cafetería funciona, ofrece lo básico y es funcional.",neutro,
maestro,hombre,52,"Como profe, el precio está muy alto para la calidad que ofrecen.",negativo,precio
alumno,mujer,18,"Como alumna, las instalaciones de la cafetería están en mal estado y eso arruina la experiencia.",negativo,instalaciones
maestro,hombre,43,"Como profesor, la cafetería me funciona: buen servicio, ambiente agradable y opciones rápidas.",positivo,
alumno,hombre,18,"La neta, la comida está buena y el ambiente siempre ayuda para estudiar.",positivo,
trabajador,mujer,35,"Como trabajadora, la atención es excelente y el ambiente es muy agradable.",positivo,
maestro,mujer,50,"Como profesora de 50 años, el sabor de la cafetería me deja insatisfecha y la experiencia general no acompaña.",negativo,sabor
madre,mujer,76,"Como madre de 76 años, el sabor de la comida de la cafetería me dejó muy decepcionada.",negativo,sabor
padre,hombre,77,Aprecio mucho la atención cordial y el ambiente tranquilo de la cafetería.,positivo,
trabajador,hombre,32,"Como empleado de la cafetería, todo está en orden.",neutro,
alumno,mujer,24,"La cafetería de la Universidad Panamericana siempre me alegra el día, buen sabor y ambiente.",positivo,
padre,hombre,41,"Sabor deficiente; como padre, esperaba que ajustaran la sazón.",negativo,sabor
padre,hombre,79,"Como padre de 79 años, la variedad es muy limitada; espero más opciones para probar.",negativo,variedad
madre,mujer,42,"Como mamá ocupada, la cafetería siempre me salva la semana.",positivo,
madre,mujer,45,"Como madre, la cafetería está normal, sin comentarios.",neutro,
maestro,mujer,38,"La variedad dejó mucho que desear; como profesora, esperaba opciones más interesantes y consistentes en la cafetería.",negativo,variedad
padre,hombre,68,"Me agrada mucho la cafetería, buena atención y un ambiente agradable.",positivo,
madre,mujer,70,"El sabor de la comida en la cafetería es deficiente y, como madre de 70 años, me deja pensando en buscar alternativas.",negativo,sabor
trabajador,hombre,47,"Como trabajador, agradezco la atención y el ambiente agradable de la cafetería.",positivo,
maestro,hombre,52,La experiencia en la cafetería me parece adecuada.,neutro,
alumno,hombre,25,"La cafetería funciona, sin más.",neutro,
madre,mujer,75,"Me encanta la comida y el ambiente, gracias por el esfuerzo diario.",positivo,
visita,hombre,18,"Me encantó la cafetería de la Universidad Panamericana, buen ambiente.",positivo,
padre,hombre,65,"Como papá de 65, el sabor de la comida no me convence.",negativo,sabor
trabajador,hombre,34,La cafetería me da un buen servicio y energía para seguir el día.,positivo,
madre,mujer,64,Me encanta la comida y la atención; es excelente para mis días en la Universidad Panamericana.,positivo,
madre,mujer,70,"Como madre, la cafetería está bien, sin nada que comentar.",neutro,
visita,hombre,16,"Variedad limitada en la cafetería; como visitante joven, no encuentro opciones que me gusten.",negativo,variedad
alumno,mujer,22,El sabor de la comida en la cafetería está mal y la variedad del menú es repetitiva.,negativo,sabor
trabajador,hombre,39,"Como trabajador, la cafetería me atiende rápido y con buena onda.",positivo,
alumno,hombre,30,"La cafetería está excelente, buena atención y sabores que me mantienen satisfecho.",positivo,
maestro,mujer,50,La variedad de opciones es insuficiente para una maestra ocupada como yo; la atención deja mucho que desear.,negativo,variedad
padre,hombre,47,"Como padre, la experiencia es neutral y razonable.",neutro,
maestro,mujer,38,"La variedad es deficiente y me frustra, como maestra.",negativo,variedad
alumno,hombre,18,"La cafetería está increíble, siempre servicio rápido y buen rollo.",positivo,
padre,hombre,79,"La cafetería de la Universidad Panamericana cuida los detalles, a mi edad me siento como en casa.",positivo,
maestro,mujer,44,"Como profesora, me encanta la cafetería y su servicio.",positivo,
alumno,mujer,30,"Como alumna, la cafetería del campus es funcional.",neutro,
alumno,hombre,22,El precio está muy alto para lo que ofrecen.,negativo,precio
alumno,mujer,28,"La cafetería cumple, sin grandes observaciones por el momento.",neutro,
trabajador,mujer,38,"La cafetería funciona bien, pero podría mejorar en algunos aspectos.",neutro,
alumno,mujer,17,"La variedad de opciones está muy limitada; como alumna, me deja sin alternativas para comer.",negativo,variedad
trabajador,hombre,29,Sabor deficiente y repetitivo; como trabajador necesito algo más sabroso para la jornada.,negativo,sabor
maestro,mujer,36,La cafetería cumple con lo esperado para mis clases.,neutro,
alumno,mujer,28,Me encanta la variedad y la buena atención del personal.,positivo,
alumno,hombre,23,La cafetería de la Universidad Panamericana siempre tiene buen ambiente y sabor.,positivo,
alumno,hombre,22,Está bien para estudiar entre clases.,neutro,
visita,mujer,24,"Como visitante, la cafetería está muy bien; el servicio fue excelente y el ambiente agradable.",positivo,
alumno,mujer,17,El precio está muy alto para lo que ofrecen; las porciones son pequeñas y no vale la pena en la cafetería de la Universidad Panamericana.,negativo,precio
alumno,mujer,29,La variedad de opciones de la cafetería está muy limitada y afecta mi rutina como alumna.,negativo,variedad
alumno,mujer,30,"La cafetería de la Universidad Panamericana está increíble, siempre me atienden bien.",positivo,
padre,hombre,74,La cafetería universitaria funciona bien; ambiente cómodo.,neutro,
maestro,hombre,57,Los precios están muy altos para la calidad que ofrecen en la cafetería.,negativo,precio
alumno,hombre,28,El precio está muy caro y la atención deja mucho que desear.,negativo,precio
maestro,mujer,40,La cafetería está muy bien; buen ambiente y opciones variadas para estudiar entre clases.,positivo,
trabajador,mujer,25,La cafetería me recarga para seguir con mi jornada.,positivo,
padre,hombre,62,"El sabor de la comida de la cafetería es decepcionante; como padre, quiero lo mejor para mi hijo.",negativo,sabor
alumno,mujer,28,La cafetería está increíble; buen ambiente y servicio atento.,positivo,
maestro,mujer,41,"Como maestra, la cafetería de la Universidad Panamericana mantiene un ambiente agradable y atención amable.",positivo,
alumno,hombre,29,"La variedad de platillos es poca; como alumno, necesito más opciones en el menú diario.",negativo,variedad
padre,hombre,42,"Como padre de 42 años, la cafetería funciona sin sorpresas.",neutro,
maestro,mujer,60,"Entre clases y reuniones, la cafetería cumple su función.",neutro,
maestro,mujer,34,"Instalaciones de la cafetería mal mantenidas; como profesora, esperaba un espacio más cómodo para mis reuniones entre clases.",negativo,instalaciones
madre,mujer,61,"Como mamá de 61 años, los precios están por las nubes y no veo valor en la comida de la cafetería.",negativo,precio
alumno,mujer,21,"Me encanta la cafetería, siempre encuentro buen ambiente y buena atención.",positivo,
alumno,mujer,26,"La cafetería va bien, todo en su ritmo diario.",neutro,
padre,hombre,78,"Como papá de 78 años, el sabor de la comida no me agrada y me deja decepcionado.",negativo,sabor
maestro,mujer,39,"El precio está demasiado alto para lo que ofrecen en la cafetería; como maestra, esperaba mejor relación precio-calidad.",negativo,precio
maestro,hombre,31,"Como profesor, la cafetería sirve para momentos entre clases.",neutro,
alumno,hombre,22,,negativo,variedad
trabajador,hombre,33,"Como trabajador de la Universidad Panamericana, el precio de la cafetería está demasiado alto.",negativo,precio
maestro,mujer,53,"Como maestra de 53 años, el precio es elevado y la atención deja mucho que desear.",negativo,precio
trabajador,mujer,26,"El sabor de los platillos en la cafetería está mal; como trabajadora, esperaba algo más sabroso.",negativo,sabor
madre,mujer,63,Me encanta la atención amable y el ambiente cómodo de la cafetería.,positivo,
alumno,mujer,28,El precio está caro y como alumna siento que no refleja el valor.,negativo,precio
maestro,hombre,31,"La cafetería siempre tiene buen ambiente y trato cordial; como profesor, me encanta.",positivo,
alumno,hombre,21,"El sabor de la comida de la cafetería no me convence, afecta mis días de estudio.",negativo,sabor
alumno,hombre,27,"Como alumno, los precios están por las nubes y la porción no compensa.",negativo,precio
alumno,hombre,22,"Como alumno, el sabor de la comida está mal; además, la atención deja mucho que desear y el precio es elevado.",negativo,sabor
trabajador,mujer,30,"Como empleada de la cafetería, el sabor de los platillos ha sido deficiente últimamente, y la atención al cliente tampoco acompaña.",negativo,sabor
maestro,mujer,41,"Como profesora, el sabor de los platillos deja mucho que desear; esperaba algo más sabroso.",negativo,sabor
madre,mujer,54,"Como madre de familia de 54 años, la variedad de opciones en la cafetería es escasa y no cubre mis necesidades diarias.",negativo,variedad
padre,hombre,51,"Como padre, la cafetería está bien, pero podría mejorar.",neutro,
trabajador,hombre,32,"Como trabajador, el sabor de la comida de la cafetería deja mucho que desear.",negativo,sabor
alumno,hombre,28,Los precios están por las nubes y no justifican la calidad; es demasiado caro para lo que ofrece.,negativo,precio
padre,hombre,70,La atención y el ambiente de la cafetería me hacen sentir como en casa.,positivo,
maestro,mujer,56,"Como maestra, valoro el sabor y la atención constante.",positivo,
maestro,hombre,35,"Como profesor, la cafetería está chida; buen ambiente y atención muy amable.",positivo,
maestro,hombre,34,"Como profesor, la cafetería está muy bien para estudiar entre clases, buena atención y ambiente.",positivo,
alumno,hombre,21,La cafetería de la Universidad Panamericana está chida y el servicio siempre me late.,positivo,
alumno,hombre,25,"Me encanta la onda de la cafetería, siempre buen rollo y buena comida.",positivo,
alumno,hombre,17,"La cafetería está genial, me salva entre clases.",positivo,
padre,hombre,52,"Como papá de 52 años, valoro la buena comida y el ambiente de la cafetería.",positivo,
padre,hombre,74,"Como padre de 74 años, el precio está muy alto para lo que ofrecen.",negativo,precio
padre,hombre,75,"El sabor de la comida en la cafetería no me convence, se nota poca sazón.",negativo,sabor
maestro,mujer,58,"Como maestra, valoro la amabilidad del personal y el ambiente agradable de la cafetería.",positivo,
alumno,mujer,20,"El sabor de la comida está pésimo, y la atención deja mucho que desear.",negativo,sabor
alumno,mujer,17,"Variedad limitada en la cafetería; la atención es lenta y el sabor podría mejorar, realmente esperaba más opciones.",negativo,variedad
madre,mujer,48,"Como mamá, valoro la buena comida y el trato amable de la cafetería.",positivo,
alumno,hombre,28,"Como alumno de 28 años, la variedad de platillos es muy limitada y repetitiva; la atención suele ser lenta.",negativo,variedad
alumno,hombre,28,Las instalaciones de la cafetería están en mal estado.,negativo,instalaciones
maestro,mujer,54,"Como profesora de 54 años, el sabor de los platillos no está a la altura.",negativo,sabor
padre,hombre,76,"A mi edad, el sabor de la comida de la cafetería deja muchísimo que desear.",negativo,sabor
visita,mujer,68,"Como visitante, la cafetería me dejó muy satisfecha; volveré.",positivo,
alumno,mujer,24,"Como alumna de 24 años, el precio es muy alto para lo que ofrecen, y la variedad no compensa.",negativo,precio
madre,mujer,56,"Como mamá, valoro mucho la cafetería; buen sabor y atención.",positivo,
trabajador,hombre,40,"Como trabajador, la cafetería tiene buen ambiente y servicio amable.",positivo,
alumno,mujer,27,La cafetería de la uni me mantiene pilas para estudiar; buen ambiente.,positivo,
alumno,mujer,30,Me encanta la variedad y el ambiente; el servicio siempre es amable.,positivo,
madre,mujer,62,La cafetería está bien para el día a día.,neutro,
madre,mujer,58,"Como madre de 58 años, las instalaciones de la cafetería están deterioradas y afectan la experiencia.",negativo,instalaciones
alumno,hombre,17,"La cafetería está muy chida, buen ambiente y servicio rápido.",positivo,
alumno,hombre,22,Las instalaciones están mal mantenidas y me rompen el ritmo entre clases.,negativo,instalaciones
alumno,mujer,27,La variedad en la cafetería de la Universidad Panamericana es muy limitada y eso me desanima.,negativo,variedad
alumno,mujer,19,"La cafetería está bien, sigo yendo entre clases.",neutro,
alumno,hombre,19,"Como alumno, la cafetería funciona bien, sin nada que criticar.",neutro,
maestro,hombre,34,Las instalaciones están en mal estado y eso me preocupa como profesor.,negativo,instalaciones
alumno,mujer,24,La variedad de opciones es muy limitada y eso me afecta cada vez que voy a la cafetería.,negativo,variedad
trabajador,hombre,50,"Como trabajador de la cafetería de la Universidad Panamericana, el sabor de la comida ya no sabe bien y me deja decepcionado.",negativo,sabor
alumno,mujer,30,"Como alumna, la cafetería cumple, horario estable y servicio razonable.",neutro,
maestro,hombre,40,"Como maestro, el precio está por las nubes y no veo la relación con lo que ofrecen.",negativo,precio
padre,hombre,47,"La variedad es limitada y, como padre de 47 años que busca opciones rápidas entre clases, me deja con pocas alternativas.",negativo,variedad
alumno,mujer,24,"Sabor deficiente de los platillos, como alumna de 24 años, la cafetería de la Universidad Panamericana necesita mejoras.",negativo,sabor
trabajador,hombre,34,"La variedad de opciones en la cafetería es muy limitada, y eso complica mis turnos como trabajador.",negativo,variedad
padre,hombre,52,"Como padre de familia, las instalaciones de la cafetería de la Universidad Panamericana están en mal estado y la experiencia es frustrante.",negativo,instalaciones
visita,hombre,33,Experiencia muy positiva como visitante; la atención y el ambiente estuvieron increíbles.,positivo,
maestro,mujer,59,"Sabor decepcionante, como profesora de la Universidad Panamericana a mis 59 años, no encuentro nada que valga.",negativo,sabor
alumno,mujer,29,La experiencia en la cafetería es neutral y funcional.,neutro,
trabajador,hombre,50,"El precio está muy alto para lo que ofrecen; como trabajador, siento que no hay opciones asequibles.",negativo,precio
madre,mujer,50,"Como mamá, la cafetería funciona y cubre las necesidades diarias.",neutro,
trabajador,hombre,37,"Como trabajador de la cafetería, el sabor de los platillos es deficiente y la atención deja mucho que desear.",negativo,sabor
alumno,mujer,26,"Como alumna, la cafetería me parece razonable.",neutro,
trabajador,hombre,46,La cafetería de la Universidad Panamericana funciona bien.,neutro,
madre,mujer,70,"Como madre de 70 años, el sabor de las comidas me decepciona.",negativo,sabor
alumno,hombre,22,La cafetería de la uni está genial y la atención es muy buena.,positivo,
madre,mujer,64,"Como madre, el sabor de los platillos deja mucho que desear.",negativo,sabor
alumno,hombre,29,"Como alumno, la cafetería siempre tiene buena comida y un ambiente cómodo.",positivo,
maestro,hombre,33,"Como profesor de la Universidad Panamericana, la cafetería funciona adecuadamente.",neutro,
madre,mujer,74,"Como mamá de 74 años, la cafetería de la Universidad Panamericana me encanta: la comida está muy rica.",positivo,
alumno,mujer,26,"El precio de los alimentos está exagerado para mí como alumna, y la selección no compensa la calidad.",negativo,precio
alumno,hombre,25,"El sabor de la cafetería es pésimo, como alumno de 25 años, y la atención deja mucho que desear.",negativo,sabor
maestro,hombre,40,"Como profesor, el sabor de la comida de la cafetería deja mucho que desear.",negativo,sabor
trabajador,mujer,37,La variedad en la cafetería está muy limitada y eso complica mi jornada laboral en la universidad.,negativo,variedad
alumno,mujer,17,"Como alumna, la cafetería está increíble y el ambiente me encanta.",positivo,
alumno,hombre,28,"Como alumno de 28 años, la cafetería me encanta: buen servicio y buena vibra en el campus.",positivo,
alumno,mujer,21,"Como alumna, la cafetería me encanta: opciones variadas y servicio rápido.",positivo,
padre,hombre,50,"Sabor deficiente en la cafetería; como papá, espero más consistencia en los platillos.",negativo,sabor
alumno,mujer,26,Las instalaciones de la cafetería están descuidadas y eso le resta comodidad a mis horarios entre clases.,negativo,instalaciones
alumno,hombre,29,La cafetería me salva entre clases; buen ambiente y servicio.,positivo,
alumno,mujer,21,El sabor está muy flojo y la calidad de la comida podría mejorar.,negativo,sabor
maestro,mujer,31,"Sabor deficiente, como maestra de 31 años, espero que la cafetería mejore.",negativo,sabor
madre,mujer,74,"El precio está demasiado alto para lo que ofrecen, y como mamá de 74 años me duele pagar tanto.",negativo,precio
padre,hombre,62,"Como padre de familia de 62 años, el precio de la cafetería de la Universidad Panamericana es excesivo para la comida que ofrecen.",negativo,precio
alumno,hombre,30,"La cafetería está excelente, buen ambiente y servicio.",positivo,
maestro,mujer,38,"Como maestra de 38 años, el sabor de los platillos no me convence y la cafetería podría mejorar.",negativo,sabor
trabajador,hombre,50,"La cafetería funciona bien, no tengo observaciones por ahora.",neutro,
alumno,mujer,30,La variedad de opciones en la cafetería no me alcanza como alumna de 30 años.,negativo,variedad
visita,hombre,16,"La neta, el sabor está pésimo y no me dan ganas de volver.",negativo,sabor
alumno,mujer,26,"Sabor deficiente, como alumna de 26 años, ya no regreso.",negativo,sabor
maestro,mujer,35,"Como maestra, la cafetería tiene buen ambiente y servicio.",positivo,
padre,hombre,75,"Variedad insuficiente en la cafetería, siendo padre de 75 años, me gustaría más opciones cada día.",negativo,variedad
trabajador,hombre,33,El equipo es súper atento y la cafetería mantiene buen ritmo.,positivo,
alumno,hombre,23,Las instalaciones de la cafetería de la Universidad Panamericana están en mal estado.,negativo,instalaciones
alumno,mujer,21,"Soy alumna de 21 años y, siendo mujer, las instalaciones de la cafetería me resultan deficientes y limitan mi experiencia diaria.",negativo,instalaciones
alumno,hombre,26,"El sabor de la comida de la cafetería está mal; además, la atención es lenta.",negativo,sabor
maestro,hombre,40,"Como profesor, la cafetería tiene buen ambiente y servicio atento.",positivo,
visita,mujer,33,"El sabor estuvo pésimo, como visitante, no volveré.",negativo,sabor
trabajador,mujer,36,"Como trabajadora del campus, la cafetería siempre me recibe con buena energía.",positivo,
alumno,hombre,24,El precio de la comida está muy alto para un estudiante como yo.,negativo,precio
visita,mujer,25,,negativo,instalaciones
alumno,mujer,26,"La cafetería está bien, cumple su función sin exagerar.",neutro,
padre,hombre,49,"Como papá, valoro el ambiente agradable y la atención en la cafetería.",positivo,
alumno,hombre,30,"Como alumno, la cafetería está genial, buena comida y servicio.",positivo,
maestro,hombre,41,"Como maestro, la cafetería está excelente para recargar energías entre clases.",positivo,
alumno,mujer,22,"Precio excesivo para una alumna de 22 años, y la calidad no compensa.",negativo,precio
padre,hombre,71,"Como padre de 71 años, agradezco el buen servicio y la variedad de la cafetería.",positivo,
alumno,mujer,19,"Como alumna, está bien, nada fuera de lo común.",neutro,
alumno,mujer,23,"Como estudiante, la cafetería está bien; cumple con lo básico.",neutro,
alumno,mujer,23,La cafetería está increíble; el ambiente me encanta y la atención es excelente.,positivo,
padre,hombre,51,"Como padre, la cafetería está bien en general.",neutro,
madre,mujer,75,"Como mamá de 75 años, agradezco la cafetería de la Universidad Panamericana: ambiente agradable y gente atenta.",positivo,
madre,mujer,69,"Como madre de un alumno, el sabor de los platillos de la cafetería deja mucho que desear.",negativo,sabor
maestro,mujer,33,"Como profesora, aprecio el ambiente y la atención en la cafetería.",positivo,
alumno,hombre,18,"La cafetería está increíble, buen ambiente y atención rápida.",positivo,
alumno,hombre,18,"El sabor de la comida deja mucho que desear, y la atención tampoco ayuda.",negativo,sabor
alumno,hombre,25,"Como alumno, la cafetería universitaria está bien, sin cambios.",neutro,
maestro,hombre,60,"La variedad de opciones es insuficiente, como profesor de 60 años, y no encuentro opciones que satisfagan lo que busco en la cafetería.",negativo,variedad
trabajador,hombre,32,Las instalaciones están descuidadas y afectan mi jornada en la cafetería.,negativo,instalaciones
padre,hombre,45,"Como padre de familia de 45 años, siento que los precios están por las nubes y eso dificulta mantenernos consumiendo aquí.",negativo,precio
madre,mujer,43,"Como mamá ocupada, agradezco la variedad y la atención amable en la cafetería.",positivo,
visita,hombre,59,"La visita a la cafetería estuvo bien, sin comentarios.",neutro,
madre,mujer,59,"Como madre de 59 años, el precio me parece excesivo para lo que ofrecen.",negativo,precio
padre,hombre,73,"Sabor deficiente; como padre de familia, esperaba algo mejor de la cafetería de la universidad.",negativo,sabor
madre,mujer,53,"El sabor de los platillos no me gustó; como madre de 53 años, esperaba algo más sabroso.",negativo,sabor
trabajador,mujer,43,"Como trabajadora, la cafetería funciona y es razonable.",neutro,
alumno,hombre,21,El sabor de la comida en la cafetería de la Universidad Panamericana está mal; parece recalentada.,negativo,sabor
visita,mujer,57,La atención fue excelente y el ambiente de la cafetería de la Universidad Panamericana muy agradable; volveré sin dudarlo.,positivo,
padre,hombre,79,"A mis años, como papá, la cafetería está muy agradable y el personal atento.",positivo,
padre,hombre,40,"Variedad limitada en la cafetería, soy padre de 40 años y me preocupa que no haya opciones para todos.",negativo,variedad
padre,hombre,67,"Como papá, aprecio la buena atención y la calidad; siempre es cómodo venir a la cafetería del campus.",positivo,
visita,mujer,52,La cafetería de la Universidad Panamericana me dejó muy satisfecha.,positivo,
maestro,mujer,33,"Como profesora, agradezco la atención y el ambiente de la cafetería.",positivo,
maestro,mujer,41,"Como profesora de la Universidad Panamericana, el precio está muy alto.",negativo,precio
alumno,hombre,23,"El precio está muy alto para lo que ofrecen, y la porción no compensa.",negativo,precio
padre,hombre,51,"Como papá, siento que el precio está muy alto para lo que ofrecen.",negativo,precio
alumno,hombre,20,"La variedad es poca y siempre lo mismo, ya no sé qué pedir.",negativo,variedad
madre,mujer,78,Me agrada mucho la cafetería; la atención es cálida y la comida está sabrosa.,positivo,
alumno,mujer,18,"Como alumna de 18 años, el sabor de la comida me deja insatisfecha.",negativo,sabor
trabajador,mujer,50,"Como trabajadora de la cafetería, valoro el ambiente y la atención.",positivo,
alumno,mujer,29,"Como alumna, el precio me parece elevado y la atención podría mejorar.",negativo,precio
maestro,mujer,60,"Como profesora, la cafetería cumple con lo básico.",neutro,
alumno,mujer,25,"Como alumna, me encanta la variedad y el buen ambiente de la cafetería de la uni.",positivo,
alumno,hombre,17,Está bien para el día a día entre clases.,neutro,
trabajador,mujer,31,Las instalaciones de la cafetería están descuidadas y afectan mi jornada laboral.,negativo,instalaciones
alumno,hombre,23,La variedad de platillos es insuficiente y las opciones se agotan rápido.,negativo,variedad
alumno,hombre,30,"Como alumno de 30 años, la cafetería de la Panamericana tiene siempre buen ambiente.",positivo,
alumno,hombre,29,"Como alumno de 29 años, la cafetería está increíble: buen ambiente y atención.",positivo,
alumno,mujer,22,El precio está muy alto para lo que ofrecen y la porción y la atención no justifican el costo.,negativo,precio
alumno,mujer,28,"Como alumna, siento que el precio está muy alto para lo que ofrecen y la calidad podría mejorar.",negativo,precio
visita,mujer,17,"Me encantó la vibra de la cafetería, ideal para estudiar.",positivo,
maestro,hombre,59,"Como profesor, valoro mucho la cafetería por su ambiente propicio para conversar entre clases.",positivo,
alumno,hombre,19,"El sabor de la comida está mal, y la neta, la atención a veces deja mucho que desear.",negativo,sabor
maestro,mujer,55,Me encanta la variedad y el servicio siempre atento; la cafetería alimenta mis días.,positivo,
padre,hombre,77,"Como padre, la cafetería funciona bien para mis visitas.",neutro,
alumno,hombre,21,"La cafetería está muy bien, buena onda y servicio ágil.",positivo,
trabajador,mujer,48,"Como trabajadora de 48 años, me encanta el ambiente y el servicio en la cafetería.",positivo,
trabajador,mujer,49,"Como trabajadora, las instalaciones de la cafetería siguen en mal estado y afectan mi jornada.",negativo,instalaciones
alumno,hombre,20,El precio de la cafetería está muy alto y el sabor deja mucho que desear.,negativo,precio
visita,hombre,64,La variedad de opciones está muy limitada para un visitante de mi edad; espero más diversidad en sabores y platillos.,negativo,variedad
maestro,mujer,39,"Como profesora, la cafetería mantiene buen sabor y trato; me encanta.",positivo,
maestro,mujer,33,"Como profesora, la variedad es pobre y afecta mi experiencia en la cafetería.",negativo,variedad
alumno,hombre,20,"La variedad está muy limitada, como alumno, y el sabor no me convence.",negativo,variedad
alumno,mujer,27,"El sabor de los platillos de la cafetería, como alumna, deja mucho que desear.",negativo,sabor
trabajador,hombre,44,"Como trabajador de la Universidad Panamericana, la cafetería tiene buen ambiente y servicio rápido.",positivo,
alumno,mujer,29,"Como alumna, sigo evaluando la experiencia en la cafetería.",neutro,
alumno,hombre,29,"Como alumno, la variedad de opciones es muy limitada y a veces la comida no sabe tan bien.",negativo,variedad
trabajador,hombre,36,"Sabor deficiente en la comida; como trabajador, la atención no acompaña.",negativo,sabor
trabajador,mujer,50,"Como trabajadora de la cafetería, la operación se mantiene estable.",neutro,
maestro,mujer,52,"Como profesora de la Universidad Panamericana, la cafetería mantiene un ambiente agradable y el servicio es cordial.",positivo,
trabajador,mujer,28,"Como empleada, me encanta el ambiente y la atención, siempre con buena vibra.",positivo,
alumno,mujer,29,"Como alumna de 29 años, la cafetería me encanta por su servicio y la tranquilidad para estudiar.",positivo,
madre,mujer,74,"Como mamá de 74 años, el precio está carísimo para lo que ofrecen.",negativo,precio
alumno,mujer,20,La variedad del menú es limitada y eso me frustra como alumna.,negativo,variedad
trabajador,hombre,46,"Como trabajador, valoro el ambiente agradable y el buen servicio de la cafetería.",positivo,
padre,hombre,54,"Como papá, la cafetería está bien y sin problemas.",neutro,
